Marca temporal,Dirección de correo electrónico,Nombre,Edad,¿En qué zona vivís?,Ocupación,¿Cómo nos conociste?,¿Con qué frecuencia asistís a estas varietés?,¿Asistís a eventos similares de otros centros culturales?,¿Colaboraste con la gorra?,¿Consumiste algo en la barra?,¿Qué es lo que más te gusta de La Gran Siete?,¿Qué mejorarías en estos eventos?
5/04/2025 17:06:36,lascoursnicolas@gmail.com,Nicolás Lascours ,1983,La Loma,Docente ,Invitado por alguien del espacio,Es mi primera vez,No,Sí - con QR / transferencia,Sí,Ambiente y comunidad,La comida
9/04/2025 17:06:36,maria.gonzalez@mail.com,Maria Gonzalez,1990,Palermo,Diseñadora gráfica,Redes Sociales,Ocasionalmente,Ocasionalmente,Sí - con QR / transferencia,Sí,Los espectáculos,Más variedad en los espectáculos
10/04/2025 17:06:36,juan.perez@mail.com,Juan Pérez,1985,Caballito,Contador,Amigos / Familiares,Frecuentemente,Frecuentemente,Sí - en efectivo,No,Ambiente y comunidad,Nada
11/04/2025 17:06:36,laura.smith@mail.com,Laura Smith,1998,Almagro,Estudiante,Volantes / carteles,Es mi primera vez,No,No pude,Sí,Los talleres,Más talleres interactivos
12/04/2025 17:06:36,carlos.rodriguez@mail.com,Carlos Rodríguez,1982,Belgrano,Ingeniero,Invitado por alguien del espacio,Ocasionalmente,Ocasionalmente,Sí - en efectivo,Sí,La calidad/precios de los alimentos/bebidas,Más opciones vegetarianas
13/04/2025 17:06:36,sofia.martinez@mail.com,Sofía Martínez,1993,Villa Crespo,Psicóloga,Otros: Prensa,Frecuentemente,Frecuentemente,Sí - con QR / transferencia,No,Ambiente y comunidad,Más espacio para socializar
14/04/2025 17:06:36,pablo.gomez@mail.com,Pablo Gómez,1995,Congreso,Músico,Redes Sociales,Es mi primera vez,Ocasionalmente,No pude,Los espectáculos,Mejor acústica,
15/04/2025 17:06:36,ana.torres@mail.com,Ana Torres,1988,Colegiales,Profesora,Amigos / Familiares,Ocasionalmente,No,Sí - en efectivo,Sí,Los talleres,Más horarios disponibles
16/04/2025 17:06:36,diego.lopez@mail.com,Diego López,1991,San Telmo,Chef,Invitado por alguien del espacio,Frecuentemente,Frecuentemente,Sí - con QR / transferencia,Sí,La calidad/precios de los alimentos/bebidas,Más variedad de bebidas
17/04/2025 17:06:36,lucia.fernandez@mail.com,Lucía Fernández,1997,Boedo,Periodista,Volantes / carteles,Ocasionalmente,Ocasionalmente,Sí - en efectivo,No,Ambiente y comunidad,Más eventos temáticos
18/04/2025 17:06:36,javier.ruiz@mail.com,Javier Ruiz,1984,Recoleta,Arquitecto,Otros: Internet,Frecuentemente,No,Sí - con QR / transferencia,Sí,Los espectáculos,Más comodidad en las butacas
20/04/2025 17:06:36,marta.suarez@mail.com,Marta Suárez,1987,Palermo,Arquitecta,Redes Sociales,Frecuentemente,Ocasionalmente,Sí - en efectivo,Sí,Ambiente y comunidad,Más talleres
21/04/2025 17:06:36,jorge.lopez@mail.com,Jorge López,1992,Caballito,Programador,Amigos / Familiares,Ocasionalmente,No,Sí - con QR / transferencia,No,Los espectáculos,Más horarios
22/04/2025 17:06:36,clara.diaz@mail.com,Clara Díaz,1989,Almagro,Diseñadora gráfica,Volantes / carteles,Es mi primera vez,Ocasionalmente,No pude,Los talleres,Más variedad,
23/04/2025 17:06:36,raul.gomez@mail.com,Raúl Gómez,1995,Belgrano,Estudiante,Invitado por alguien del espacio,Frecuentemente,Frecuentemente,Sí - en efectivo,Sí,La calidad/precios de los alimentos/bebidas,Más opciones veganas
24/04/2025 17:06:36,laura.martin@mail.com,Laura Martín,1990,Villa Crespo,Psicóloga,Otros: Prensa,Ocasionalmente,No,Sí - con QR / transferencia,No,Ambiente y comunidad,Más espacios
25/04/2025 17:06:36,carlos.sanchez@mail.com,Carlos Sánchez,1985,Congreso,Músico,Redes Sociales,Frecuentemente,Ocasionalmente,Sí - en efectivo,Sí,Los espectáculos,Mejor sonido
26/04/2025 17:06:36,sofia.rojas@mail.com,Sofía Rojas,1993,Colegiales,Profesora,Amigos / Familiares,Es mi primera vez,No,No pude,Los talleres,Más interacción,
27/04/2025 17:06:36,miguel.torres@mail.com,Miguel Torres,1988,San Telmo,Chef,Invitado por alguien del espacio,Ocasionalmente,Frecuentemente,Sí - con QR / transferencia,Sí,La calidad/precios de los alimentos/bebidas,Más bebidas
28/04/2025 17:06:36,elena.garcia@mail.com,Elena García,1997,Boedo,Periodista,Volantes / carteles,Frecuentemente,Ocasionalmente,Sí - en efectivo,No,Ambiente y comunidad,Más eventos
29/04/2025 17:06:36,javier.mendoza@mail.com,Javier Mendoza,1984,Recoleta,Arquitecto,Otros: Internet,Ocasionalmente,No,Sí - con QR / transferencia,Sí,Los espectáculos,Más butacas
30/04/2025 17:06:36,ana.fernandez@mail.com,Ana Fernández,1991,Palermo,Contadora,Redes Sociales,Frecuentemente,Frecuentemente,Sí - en efectivo,No,Ambiente y comunidad,Más talleres
1/05/2025 17:06:36,luis.vargas@mail.com,Luis Vargas,1986,Caballito,Ingeniero,Amigos / Familiares,Ocasionalmente,No,Sí - con QR / transferencia,Sí,Los espectáculos,Más horarios
2/05/2025 17:06:36,marina.lopez@mail.com,Marina López,1994,Almagro,Estudiante,Volantes / carteles,Es mi primera vez,Ocasionalmente,No pude,Los talleres,Más variedad,
3/05/2025 17:06:36,oscar.duran@mail.com,Óscar Durán,1983,Belgrano,Doctor,Invitado por alguien del espacio,Frecuentemente,Frecuentemente,Sí - en efectivo,Sí,La calidad/precios de los alimentos/bebidas,Más opciones veganas
4/05/2025 17:06:36,isabel.morales@mail.com,Isabel Morales,1990,Villa Crespo,Diseñadora,Otros: Prensa,Ocasionalmente,No,Sí - con QR / transferencia,No,Ambiente y comunidad,Más espacios
5/05/2025 17:06:36,fernando.castro@mail.com,Fernando Castro,1987,Congreso,Músico,Redes Sociales,Frecuentemente,Ocasionalmente,Sí - en efectivo,Sí,Los espectáculos,Mejor sonido
6/05/2025 17:06:36,valeria.rios@mail.com,Valeria Ríos,1992,Colegiales,Profesora,Amigos / Familiares,Es mi primera vez,No,No pude,Los talleres,Más interacción,
7/05/2025 17:06:36,ricardo.quiroga@mail.com,Ricardo Quiroga,1989,San Telmo,Chef,Invitado por alguien del espacio,Ocasionalmente,Frecuentemente,Sí - con QR / transferencia,Sí,La calidad/precios de los alimentos/bebidas,Más bebidas
8/05/2025 17:06:36,silvia.mendez@mail.com,Silvia Méndez,1996,Boedo,Periodista,Volantes / carteles,Frecuentemente,Ocasionalmente,Sí - en efectivo,No,Ambiente y comunidad,Más eventos
